"Rank","Opportunity","Product/Cluster","Primary Keyword","Country/Region","Language","Intent","Competition","Opportunity Score","Target URL","Status","Recommended Action","Current Rank","Best Observed Competitor","Content Gap"
"1","IR64 5% broken landing page","IR64 rice","IR64 parboiled rice 5% broken exporter","Global","en","Transactional","Medium","96","https://jftagro.com/5-parboiled-rice-ir-64-exporter.html","Existing","Strengthen verified specifications and link from rice guides","Requires GSC query export","ir64.com / Haji Rice","Strengthen verified specifications and link from rice guides"
"2","IR64 10% broken landing page","IR64 rice","IR64 parboiled rice 10% broken exporter","Global","en","Transactional","Medium","95","https://jftagro.com/10-parboiled-rice-ir-64-exporter.html","Existing","Add buyer-use cases and contextual links","Requires GSC query export","ir64.com / Haji Rice","Add buyer-use cases and contextual links"
"3","IR64 bulk supplier hub","IR64 rice","IR64 rice supplier India","Global","en","Commercial","High","94","https://jftagro.com/5-parboiled-rice-ir-64-exporter.html","Existing","Differentiate supplier intent without cannibalizing grade pages","Requires GSC query export","ir64.com / Haji Rice","Differentiate supplier intent without cannibalizing grade pages"
"4","IR64 West Africa sourcing","IR64 rice","IR64 rice exporter to West Africa","West Africa","en","Transactional","Medium","93","https://jftagro.com/africa-trade.html","Existing","Add verified destination and logistics detail","Requires GSC query export","ir64.com / Haji Rice","Add verified destination and logistics detail"
"5","IR64 buyer definition guide","IR64 rice","what is IR64 rice","Global","en","Informational","Medium","92","https://jftagro.com/blog-ir64-export.html","Existing","Answer definition early and cite authoritative sources","Requires GSC query export","ir64.com / Haji Rice","Answer definition early and cite authoritative sources"
"6","1121 Basmati hub","Basmati rice","1121 basmati rice exporter India","Global","en","Transactional","High","91","https://jftagro.com/1121-basmati-rice-exporter.html","Existing","Build strongest variety hub and clarify forms","Requires GSC query export","Alstoe Exports / Botanika Bharat","Build strongest variety hub and clarify forms"
"7","1121 steam landing page","Basmati rice","1121 steam basmati rice supplier","Global","en","Transactional","Medium","90","https://jftagro.com/1121-steam-basmati-rice-exporter.html","Existing","Expand verified packing and buyer-role content","Requires GSC query export","Alstoe Exports / Botanika Bharat","Expand verified packing and buyer-role content"
"8","1121 raw landing page","Basmati rice","1121 raw basmati rice exporter","Global","en","Transactional","Medium","89","https://jftagro.com/1121-raw-basmati-rice-exporter.html","Existing","Improve comparison links to steam and sella","Requires GSC query export","Alstoe Exports / Botanika Bharat","Improve comparison links to steam and sella"
"9","1121 white sella landing page","Basmati rice","1121 white sella basmati exporter","Global","en","Transactional","Medium","88","https://jftagro.com/1121-white-sella-basmati-exporter.html","Existing","Add visible comparison and cooking-use detail","Requires GSC query export","Alstoe Exports / Botanika Bharat","Add visible comparison and cooking-use detail"
"10","1509 steam landing page","Basmati rice","1509 steam basmati rice exporter","Global","en","Transactional","Medium","87","https://jftagro.com/1509-steam-basmati-rice-exporter.html","Existing","Strengthen verified variety differentiation","Requires GSC query export","Alstoe Exports / Botanika Bharat","Strengthen verified variety differentiation"
"11","1509 golden sella page","Basmati rice","1509 golden sella basmati exporter","Global","en","Transactional","Medium","86","https://jftagro.com/1509-golden-sella-basmati-exporter.html","Existing","Add contextual links from Basmati guide","Requires GSC query export","Alstoe Exports / Botanika Bharat","Add contextual links from Basmati guide"
"12","1718 steam page","Basmati rice","1718 steam basmati rice exporter","Global","en","Transactional","Medium","85","https://jftagro.com/1718-steam-basmati-rice-exporter.html","Existing","Clarify buyer fit with verified facts","Requires GSC query export","Alstoe Exports / Botanika Bharat","Clarify buyer fit with verified facts"
"13","1718 golden sella page","Basmati rice","1718 golden sella rice supplier","Global","en","Transactional","Medium","84","https://jftagro.com/1718-golden-sella-basmati-exporter.html","Existing","Add comparison links and proof assets","Requires GSC query export","Alstoe Exports / Botanika Bharat","Add comparison links and proof assets"
