claim_id,public_claim,status,evidence_required,evidence_location,legal_entity,scope,issue_date,expiry_or_review_date,owner,public_pages,approved_public_wording
CLM-001,Established in 1980,PENDING_VERIFICATION,Certificate of incorporation and legal-entity history,,,,,Company secretary,"Homepage; About",Established year available in company documents on request
CLM-002,Star Export House,PENDING_VERIFICATION,Current DGFT status-holder certificate showing entity category scope and validity,,,,,Compliance,"Homepage; Certificates; Product pages",Current recognition copy available for buyer verification
CLM-003,APEDA registered,PENDING_VERIFICATION,Current APEDA RCMC showing entity products and validity,,,,,Compliance,"Certificates; Product pages",Current registration copy available for buyer verification
CLM-004,FSSAI licensed,PENDING_VERIFICATION,Current FSSAI licence showing entity premises activity scope and validity,,,,,Compliance,"Certificates; Product pages",Current licence copy available for buyer verification
CLM-005,Spices Board registered,PENDING_VERIFICATION,Current CRES/registration showing entity scope and validity,,,,,Compliance,Certificates,Current registration copy available for buyer verification
CLM-006,ISO 9001:2015 certified,PENDING_VERIFICATION,Current certificate issuer accreditation holder sites scope issue and expiry dates,,,,,Quality,"Homepage; Certificates; Product pages",Current quality-management certificate available for buyer verification
CLM-007,HACCP certified,PENDING_VERIFICATION,Current certificate holder facility scope issuer issue and expiry dates,,,,,Quality,"Homepage; Certificates",Current food-safety document available for buyer verification
CLM-008,AEO authorised,PENDING_VERIFICATION,Current CBIC AEO certificate showing entity tier and validity,,,,,Compliance,"Homepage; Certificates",Current authorisation copy available for buyer verification
CLM-009,250 MT per day milling capacity,PENDING_VERIFICATION,Facility ownership/operating agreement machinery rated capacity production records and operations sign-off,,,,,Operations,"Homepage; About; Product pages",Facility capacity is confirmed during buyer due diligence
CLM-010,25 plus countries served,PENDING_VERIFICATION,Reconciled shipment/customer records with definition and measurement period,,,,,Finance/Export,"Homepage; About; Product pages",Serving international markets
CLM-011,NABL-certified in-house laboratory,REJECTED_PENDING_SCOPE,NABL accreditation belongs to a named laboratory and scope; prove ownership and accreditation schedule before publication,,,,,Quality,"Homepage; About; Quality Control",Testing through an appropriately accredited laboratory can be contracted
CLM-012,SGS or Intertek inspection,CONDITIONAL,Shipment contract and inspection appointment/report for the named provider,,,,,Export,Multiple pages,Independent inspection can be arranged when contracted
CLM-013,Carrier agreements or priority space,PENDING_VERIFICATION,Current executed agreement plus permission to publicise wording,,,,,Logistics,Logistics pages,Carrier and equipment options are confirmed per booking
CLM-014,Distribution hubs partners or customs agents,PENDING_VERIFICATION,Current executed agreement entity location services and permission to publicise,,,,,International sales,"Homepage; About; Market pages",Destination support is confirmed for the specific shipment
CLM-015,GI-certified sourcing,PENDING_VERIFICATION,Product-specific GI authorised-user/supplier and lot traceability evidence,,,,,Procurement,Product pages,Origin and GI documentation are confirmed per contracted lot
CLM-016,Shipment/container/TEU volume,PENDING_VERIFICATION,Reconciled shipment records and stated calendar/fiscal period,,,,,Finance/Export,Homepage,Do not publish a volume until the measurement period is evidenced
CLM-017,Customs response transit or clearance time,REJECTED_AS_GUARANTEE,Measured data with conditions cannot guarantee authority carrier or port outcomes,,,,,Logistics,Multiple pages,Timing depends on authority carrier port documents and shipment conditions
CLM-018,Zero-claim or performance guarantee,REJECTED_AS_ABSOLUTE,Absolute performance claims are not permitted; use contract-specific remedies and claims records,,,,,Legal,Multiple pages,Claims and remedies follow the signed sales contract
