query_id,query,category,commercial_intent,priority,target_page,competitor_expected
Q-COMP-01,"JFT Agro Overseas",company,none,P1,https://jftagro.com/,"other Indian exporters"
Q-COMP-02,"JFT Agro Overseas LLP",company,none,P1,https://jftagro.com/about.html,"other Indian exporters"
Q-COMP-03,"JFT Agro",company,none,P1,https://jftagro.com/,"other Indian exporters"
Q-COMP-04,"JFT Agro India",company,none,P1,https://jftagro.com/,"other Indian exporters"
Q-COMP-05,"JFT Agro Overseas reviews",trust,medium,P1,https://jftagro.com/about.html,"review aggregators/directories"
Q-COMP-06,"JFT Agro Overseas supplier",trust,high,P1,https://jftagro.com/products.html,"supplier databases"
Q-COMP-07,"JFT Agro Overseas exporter",trust,high,P1,https://jftagro.com/,"export directories"
Q-COMP-08,"JFT Agro Overseas company",company,medium,P1,https://jftagro.com/about.html,"company databases"
Q-COMP-09,"is JFT Agro Overseas a rice exporter",trust,high,P1,https://jftagro.com/rice-exporter-india.html,"rice export directories"
Q-RICE-01,"Indian rice exporters",rice,high,P2,https://jftagro.com/rice-exporter-india.html,"Tilda, KRBL, LT Foods, exporter directories"
Q-RICE-02,"rice exporter India",rice,high,P2,https://jftagro.com/rice-exporter-india.html,"exporter directories"
Q-RICE-03,"IR64 rice exporter India",rice,high,P2,https://jftagro.com/1121-white-sella-basmati-exporter.html,"bulk rice exporters"
Q-RICE-04,"parboiled rice exporter India",rice,high,P2,https://jftagro.com/5-parboiled-rice-ir-64-exporter.html,"bulk rice exporters"
Q-RICE-05,"1121 basmati rice exporter India",rice,high,P2,https://jftagro.com/1121-basmati-rice-exporter.html,"KRBL, LT Foods, basmati exporters"
Q-RICE-06,"Indian non basmati rice supplier",rice,high,P2,https://jftagro.com/rice-exporter-india.html,"non-basmati exporters"
Q-RICE-07,"Indian rice supplier for Vietnam",rice,high,P2,https://jftagro.com/rice-exporter-india.html,"Vietnam-facing exporters"
Q-RICE-08,"broken rice exporter India",rice,high,P2,https://jftagro.com/100-broken-rice-exporter.html,"broken rice exporters"
Q-RICE-09,"sella basmati rice exporter India",rice,high,P2,https://jftagro.com/1401-sella-basmati-rice-exporter.html,"sella basmati exporters"
Q-RICE-10,"steam basmati rice exporter India",rice,high,P2,https://jftagro.com/1121-steam-basmati-rice-exporter.html,"steam basmati exporters"
