query,clicks,impressions,ctr_percent,position,estimated_ctr_gap_clicks,candidate_target,mapping_basis,recommended_action
1 million cif price,0,136,0.0,9.8,6.8,https://jftagro.com/quote-calculator.html,calculator intent,review_snippet_and_intent_after_post_release_window
fob calculator,5,212,2.36,8.42,5.6,https://jftagro.com/quote-calculator.html,calculator intent,review_snippet_and_intent_after_post_release_window
how many 50kg bags of rice in a 40ft container,0,31,0.0,7.61,1.55,https://jftagro.com/packing-calculator.html,container packing intent,review_snippet_and_intent_after_post_release_window
how many 25kg bags of rice in a 20ft container,0,29,0.0,8.59,1.45,https://jftagro.com/packing-calculator.html,container packing intent,review_snippet_and_intent_after_post_release_window
சீரகம் விலை இன்று,0,18,0.0,7.5,0.9,https://jftagro.com/blog-cumin-jeera-price-outlook-2026.html,cumin price/information intent,review_snippet_and_intent_after_post_release_window
cif value calculator,0,16,0.0,9.5,0.8,https://jftagro.com/quote-calculator.html,calculator intent,review_snippet_and_intent_after_post_release_window
சீரகம் விலை,0,16,0.0,7.0,0.8,https://jftagro.com/blog-cumin-jeera-price-outlook-2026.html,cumin price/information intent,review_snippet_and_intent_after_post_release_window
how many 25kg bags in a 20ft container,0,15,0.0,8.4,0.75,https://jftagro.com/packing-calculator.html,container packing intent,review_snippet_and_intent_after_post_release_window
how many 25kg bags in a 40ft container,0,13,0.0,6.77,0.65,https://jftagro.com/packing-calculator.html,container packing intent,review_snippet_and_intent_after_post_release_window
1 million cif price in india,0,12,0.0,9.25,0.6,https://jftagro.com/quote-calculator.html,calculator intent,review_snippet_and_intent_after_post_release_window
rice export from india to uae,0,7,0.0,5.0,0.56,,requires query-to-page API export,review_snippet_and_intent_after_post_release_window
indian rice re-export dubai,0,22,0.0,16.05,0.47,https://jftagro.com/uae-trade.html,UAE trade intent,review_snippet_and_intent_after_post_release_window
cumin price per kg india 2026,0,9,0.0,9.89,0.45,https://jftagro.com/blog-cumin-jeera-price-outlook-2026.html,cumin price/information intent,review_snippet_and_intent_after_post_release_window
cif export calculator,0,4,0.0,3.5,0.32,https://jftagro.com/quote-calculator.html,calculator intent,review_snippet_and_intent_after_post_release_window
pusa 1509 vs 1121,0,6,0.0,8.67,0.3,,requires query-to-page API export,review_snippet_and_intent_after_post_release_window
chakki fresh atta exporters,0,10,0.0,12.2,0.21,https://jftagro.com/wheat-flour-chakki-fresh-atta-exporter.html,wheat-flour product intent,review_snippet_and_intent_after_post_release_window
singapore to mundra transit time by sea,0,3,0.0,1.0,0.21,,requires query-to-page API export,defend_and_monitor
starasian agro overseas private limited,0,3,0.0,1.0,0.21,,requires query-to-page API export,defend_and_monitor
fob price cumin seeds india 2026,0,4,0.0,6.5,0.2,https://jftagro.com/quote-calculator.html,calculator intent,review_snippet_and_intent_after_post_release_window
kishmish exporter,0,8,0.0,14.88,0.17,,requires query-to-page API export,review_snippet_and_intent_after_post_release_window
cumin seeds price per kg 2026 india retail,0,3,0.0,10.0,0.15,https://jftagro.com/blog-cumin-jeera-price-outlook-2026.html,cumin price/information intent,review_snippet_and_intent_after_post_release_window
