Top pages,Clicks,Impressions,CTR,Position
https://jftagro.com/,93,469,19.83%,6.32
https://jftagro.com/quote-calculator.html,75,1468,5.11%,7.9
https://jftagro.com/contact.html,13,263,4.94%,7.06
https://jftagro.com/about.html,12,245,4.9%,4.23
https://jftagro.com/packing-calculator.html,11,1444,0.76%,6.9
https://jftagro.com/uae-trade.html,10,601,1.66%,14.29
https://jftagro.com/blog-india-vs-thailand-rice-comparison.html,9,381,2.36%,6.99
https://jftagro.com/blog-cumin-jeera-price-outlook-2026.html,7,1729,0.4%,6.99
https://jftagro.com/africa-trade.html,5,137,3.65%,15.57
https://jftagro.com/port-transit-calculator.html,4,528,0.76%,16.05
https://jftagro.com/blog-import-duty-indian-rice-by-country.html,4,325,1.23%,7.98
https://jftagro.com/blog-top-indian-agro-commodities-import-2026.html,4,72,5.56%,6.12
https://jftagro.com/blog-psyllium-husk-export-india-2026.html,3,230,1.3%,7.12
https://jftagro.com/europe-trade.html,3,64,4.69%,8.72
https://jftagro.com/wheat-flour-chakki-fresh-atta-exporter.html,3,33,9.09%,8.94
https://jftagro.com/certificates.html,2,93,2.15%,4.87
https://jftagro.com/shipment-tracker.html,2,65,3.08%,7.49
https://jftagro.com/senna-leaves-exporter.html,2,20,10%,9.05
https://jftagro.com/blog-turmeric-finger-export-india-2026.html,1,231,0.43%,7.83
https://jftagro.com/asia-trade.html,1,116,0.86%,14.17
https://jftagro.com/fr/,1,102,0.98%,5.69
https://jftagro.com/blog-spice-trends-2026.html,1,76,1.32%,17.22
https://jftagro.com/ms/blog-psyllium-husk-export-india-2026.html,1,74,1.35%,17.86
https://jftagro.com/fr/port-transit-calculator.html,1,41,2.44%,7.17
https://jftagro.com/turmeric-finger-exporter.html,1,40,2.5%,8.5
https://jftagro.com/infrastructure.html,1,27,3.7%,12.07
https://jftagro.com/ar/infrastructure.html,1,25,4%,9.36
https://jftagro.com/whole-nutmeg-powder-exporter.html,1,17,5.88%,51.53
https://jftagro.com/groundnut-oil-cake-exporter.html,1,13,7.69%,7.85
https://jftagro.com/ru/semolina-sooji-rava-exporter.html,1,12,8.33%,8.67
https://jftagro.com/corn-starch-exporter.html,1,12,8.33%,30.08
https://jftagro.com/blog-lc-vs-tt.html,1,11,9.09%,11.82
https://jftagro.com/id/soybean-meal-doc-exporter.html,1,10,10%,8
https://jftagro.com/green-mung-beans-exporter.html,1,9,11.11%,7.44
https://jftagro.com/black-pepper-powder-exporter.html,1,9,11.11%,11.44
https://jftagro.com/th/1401-steam-basmati-rice-exporter.html,1,9,11.11%,16.56
https://jftagro.com/yellow-peas-matar-exporter.html,1,7,14.29%,5.43
https://jftagro.com/moringa-leaves-exporter.html,1,6,16.67%,20.83
https://jftagro.com/black-himaj-exporter.html,1,5,20%,7.4
https://jftagro.com/ru/groundnut-oil-cake-exporter.html,1,5,20%,9
https://jftagro.com/dill-seeds-powder-exporter.html,1,3,33.33%,1.33
https://jftagro.com/yellow-maize-corn-exporter.html,1,2,50%,4
https://jftagro.com/vi/tamarind-exporter.html,1,2,50%,4.5
https://jftagro.com/ar/safflower-seeds-exporter.html,1,2,50%,9
https://jftagro.com/th/sesame-seeds-naturalhulled-exporter.html,1,1,100%,7
https://jftagro.com/ms/cassia-tora-seeds-exporter.html,1,1,100%,12
https://jftagro.com/ms/blog-red-chilli-teja-export-india-2026.html,0,177,0%,7.34
https://jftagro.com/blog-basmati-export-guide.html,0,143,0%,8.67
https://jftagro.com/blog.html,0,141,0%,28.72
https://jftagro.com/blog-indian-white-rice-export-policy-2026-latest-updates.html,0,134,0%,10.75
https://jftagro.com/ms/port-transit-calculator.html,0,112,0%,9.06
https://jftagro.com/products.html,0,110,0%,8.55
https://jftagro.com/blog-how-to-import-rice-nigeria-west-africa.html,0,97,0%,7.36
https://jftagro.com/privacy.html,0,78,0%,4.96
https://jftagro.com/id/port-transit-calculator.html,0,76,0%,8.64
https://jftagro.com/blog-how-to-export-india-to-africa.html,0,51,0%,10.59
https://jftagro.com/cotton-seed-oil-cake-exporter.html,0,47,0%,7.81
https://jftagro.com/moringa-powder-exporter.html,0,46,0%,24.93
https://jftagro.com/psyllium-husk-exporter.html,0,30,0%,20.47
https://jftagro.com/pt/blog-apeda-registration-indian-exporter-explained.html,0,28,0%,13.57
https://jftagro.com/blog-cif-fob-explained.html,0,27,0%,17.19
https://jftagro.com/indian-raisins-kishmish-exporter.html,0,26,0%,17.58
https://jftagro.com/blog-india-uae-cepa.html,0,25,0%,10.2
https://jftagro.com/ms/psyllium-husk-exporter.html,0,25,0%,47.68
https://jftagro.com/blog-turmeric-market-outlook-2026.html,0,24,0%,7.79
https://jftagro.com/semolina-sooji-rava-exporter.html,0,23,0%,16.57
https://jftagro.com/terms.html,0,21,0%,1.1
https://jftagro.com/id/turmeric-finger-exporter.html,0,21,0%,9.1
https://jftagro.com/tamarind-exporter.html,0,20,0%,10.75
https://jftagro.com/sample-request.html,0,19,0%,3.79
https://jftagro.com/faq.html,0,16,0%,4.19
https://jftagro.com/ru/blog-indian-white-rice-export-policy-2026-latest-updates.html,0,15,0%,7
